"Sample","Quant","Temps","Temperature","CO","CO2"
"BDCV02",2.98,0,202,0,24
"BDCV02",2.98,1,202,0,10
"BDCV02",2.98,2,202,0,5
"BDCV02",2.98,3,202,0,5
"BDCV02",2.98,4,202,0,10
"BDCV02",2.98,5,202,0,15
"BDCV02",2.98,6,202,0,10
"BDCV02",2.98,7,202,3,10
"BDCV02",2.98,8,202,0,5
"BDCV02",2.98,9,202,0,5
"BDCV02",2.98,10,202,3,15
"BDCV02",2.98,11,202,3,20
"BDCV02",2.98,12,202,3,20
"BDCV02",2.98,13,202,3,20
"BDCV02",2.98,14,202,0,20
"BDCV02",2.98,15,202,0,10
"BDCV02",2.98,16,202,0,10
"BDCV02",2.98,17,202,3,20
"BDCV02",2.98,18,202,6,20
"BDCV02",2.98,19,202,3,15
"BDCV02",2.98,20,202,0,15
"BDCV02",2.98,21,202,0,20
"BDCV02",2.98,22,202,0,20
"BDCV02",2.98,23,202,3,24
"BDCV02",2.98,24,202,3,24
"BDCV02",2.98,25,203,6,15
"BDCV02",2.98,26,202,6,20
"BDCV02",2.98,27,202,3,20
"BDCV02",2.98,28,202,0,15
"BDCV02",2.98,29,202,3,20
"BDCV02",2.98,30,202,3,29
"BDCV02",2.98,31,202,3,24
"BDCV02",2.98,32,202,0,24
"BDCV02",2.98,33,202,0,20
"BDCV02",2.98,34,202,3,20
"BDCV02",2.98,35,202,0,20
"BDCV02",2.98,36,202,0,10
"BDCV02",2.98,37,202,3,15
"BDCV02",2.98,38,202,0,24
"BDCV02",2.98,39,202,3,20
"BDCV02",2.98,40,202,0,10
"BDCV02",2.98,41,202,0,20
"BDCV02",2.98,42,202,3,24
"BDCV02",2.98,43,202,3,20
"BDCV02",2.98,44,203,3,15
"BDCV02",2.98,45,202,0,20
"BDCV02",2.98,46,202,0,24
"BDCV02",2.98,47,202,3,20
"BDCV02",2.98,48,202,0,15
"BDCV02",2.98,49,202,0,20
"BDCV02",2.98,50,202,6,24
"BDCV02",2.98,51,202,6,15
"BDCV02",2.98,52,202,6,20
"BDCV02",2.98,53,202,3,20
"BDCV02",2.98,54,202,0,20
"BDCV02",2.98,55,202,0,24
"BDCV02",2.98,56,202,0,24
"BDCV02",2.98,57,202,3,24
"BDCV02",2.98,58,203,3,29
"BDCV02",2.98,59,202,3,29
"BDCV02",2.98,60,202,3,29
"BDCV02",2.98,61,202,6,39
"BDCV02",2.98,62,202,6,24
"BDCV02",2.98,63,203,3,24
"BDCV02",2.98,64,203,3,24
"BDCV02",2.98,65,204,0,24
"BDCV02",2.98,66,204,3,29
"BDCV02",2.98,67,204,3,24
"BDCV02",2.98,68,204,0,24
"BDCV02",2.98,69,204,3,29
"BDCV02",2.98,70,204,0,24
"BDCV02",2.98,71,204,3,20
"BDCV02",2.98,72,204,3,29
"BDCV02",2.98,73,205,0,34
"BDCV02",2.98,74,205,0,34
"BDCV02",2.98,75,205,0,29
"BDCV02",2.98,76,205,0,24
"BDCV02",2.98,77,205,0,29
"BDCV02",2.98,78,206,0,34
"BDCV02",2.98,79,206,3,39
"BDCV02",2.98,80,206,3,29
"BDCV02",2.98,81,206,0,24
"BDCV02",2.98,82,206,0,24
"BDCV02",2.98,83,206,3,24
"BDCV02",2.98,84,207,0,24
"BDCV02",2.98,85,207,3,29
"BDCV02",2.98,86,207,3,29
"BDCV02",2.98,87,207,3,24
"BDCV02",2.98,88,207,6,24
"BDCV02",2.98,89,207,6,24
"BDCV02",2.98,90,207,3,29
"BDCV02",2.98,91,208,3,29
"BDCV02",2.98,92,208,3,34
"BDCV02",2.98,93,208,3,34
"BDCV02",2.98,94,208,6,34
"BDCV02",2.98,95,208,6,34
"BDCV02",2.98,96,208,3,34
"BDCV02",2.98,97,209,3,34
"BDCV02",2.98,98,209,0,24
"BDCV02",2.98,99,209,3,29
"BDCV02",2.98,100,209,6,34
"BDCV02",2.98,101,209,0,34
"BDCV02",2.98,102,210,0,39
"BDCV02",2.98,103,210,3,34
"BDCV02",2.98,104,210,3,39
"BDCV02",2.98,105,210,0,44
"BDCV02",2.98,106,210,3,29
"BDCV02",2.98,107,210,3,29
"BDCV02",2.98,108,210,6,34
"BDCV02",2.98,109,211,3,29
"BDCV02",2.98,110,211,3,34
"BDCV02",2.98,111,211,3,39
"BDCV02",2.98,112,211,6,39
"BDCV02",2.98,113,211,10,34
"BDCV02",2.98,114,205,3,34
"BDCV02",2.98,115,205,3,34
"BDCV02",2.98,116,205,0,29
"BDCV02",2.98,117,206,0,29
"BDCV02",2.98,118,206,3,39
"BDCV02",2.98,119,206,3,34
"BDCV02",2.98,120,206,6,29
"BDCV02",2.98,121,207,3,29
"BDCV02",2.98,122,207,3,44
"BDCV02",2.98,123,207,0,49
"BDCV02",2.98,124,207,0,44
"BDCV02",2.98,125,208,0,44
"BDCV02",2.98,126,209,0,44
"BDCV02",2.98,127,209,3,44
"BDCV02",2.98,128,209,6,49
"BDCV02",2.98,129,210,3,44
"BDCV02",2.98,130,210,0,39
"BDCV02",2.98,131,211,3,44
"BDCV02",2.98,132,211,6,44
"BDCV02",2.98,133,211,3,49
"BDCV02",2.98,134,212,3,49
"BDCV02",2.98,135,212,10,44
"BDCV02",2.98,136,213,6,44
"BDCV02",2.98,137,213,0,39
"BDCV02",2.98,138,213,3,39
"BDCV02",2.98,139,214,6,44
"BDCV02",2.98,140,214,0,39
"BDCV02",2.98,141,215,0,44
"BDCV02",2.98,142,215,6,44
"BDCV02",2.98,143,215,10,39
"BDCV02",2.98,144,216,10,54
"BDCV02",2.98,145,216,6,54
"BDCV02",2.98,146,216,3,44
"BDCV02",2.98,147,217,0,49
"BDCV02",2.98,148,217,3,54
"BDCV02",2.98,149,217,6,49
"BDCV02",2.98,150,218,0,49
"BDCV02",2.98,151,218,0,44
"BDCV02",2.98,152,218,6,34
"BDCV02",2.98,153,219,3,44
"BDCV02",2.98,154,219,3,49
"BDCV02",2.98,155,219,0,49
"BDCV02",2.98,156,219,0,54
"BDCV02",2.98,157,220,3,54
"BDCV02",2.98,158,220,3,54
"BDCV02",2.98,159,220,0,54
"BDCV02",2.98,160,220,0,59
"BDCV02",2.98,161,220,3,59
"BDCV02",2.98,162,220,3,54
"BDCV02",2.98,163,221,6,44
"BDCV02",2.98,164,221,10,49
"BDCV02",2.98,165,221,6,54
"BDCV02",2.98,166,221,16,54
"BDCV02",2.98,167,221,13,54
"BDCV02",2.98,168,222,3,54
"BDCV02",2.98,169,222,3,54
"BDCV02",2.98,170,222,3,54
"BDCV02",2.98,171,222,0,44
"BDCV02",2.98,172,222,0,44
"BDCV02",2.98,173,223,3,49
