"Sample","Quant","Temps","Temperature","fid","CO","CO2"
"BDCV02",2.98,0,200,664,0,19
"BDCV02",2.98,1,200,692,0,22
"BDCV02",2.98,2,200,729,0,22
"BDCV02",2.98,3,200,774,0,22
"BDCV02",2.98,4,200,824,0,28
"BDCV02",2.98,5,200,879,2,31
"BDCV02",2.98,6,200,938,0,40
"BDCV02",2.98,7,200,1067,2,53
"BDCV02",2.98,8,200,1205,4,62
"BDCV02",2.98,9,200,1355,2,75
"BDCV02",2.98,10,200,1514,4,84
"BDCV02",2.98,11,200,1681,2,102
"BDCV02",2.98,12,200,1857,2,115
"BDCV02",2.98,13,200,2038,4,130
"BDCV02",2.98,14,200,2226,5,146
"BDCV02",2.98,15,200,2418,4,161
"BDCV02",2.98,16,200,2613,4,180
"BDCV02",2.98,17,200,2810,4,196
"BDCV02",2.98,18,200,3010,4,208
"BDCV02",2.98,19,200,3210,4,227
"BDCV02",2.98,20,200,3410,4,255
"BDCV02",2.98,21,200,3609,4,273
"BDCV02",2.98,22,200,3806,5,295
"BDCV02",2.98,23,200,4002,5,314
"BDCV02",2.98,24,200,4195,5,329
"BDCV02",2.98,25,200,4385,5,348
"BDCV02",2.98,26,201,4573,4,369
"BDCV02",2.98,27,201,4758,4,388
"BDCV02",2.98,28,201,4940,4,410
"BDCV02",2.98,29,201,5118,4,425
"BDCV02",2.98,30,201,5293,4,441
"BDCV02",2.98,31,201,5464,5,447
"BDCV02",2.98,32,201,5630,7,463
"BDCV02",2.98,33,201,5791,9,478
"BDCV02",2.98,34,201,5948,7,491
"BDCV02",2.98,35,201,6100,5,497
"BDCV02",2.98,36,201,6247,4,503
"BDCV02",2.98,37,201,6389,4,506
"BDCV02",2.98,38,201,6525,5,509
"BDCV02",2.98,39,201,6656,5,512
"BDCV02",2.98,40,201,6781,5,519
"BDCV02",2.98,41,201,6902,4,522
"BDCV02",2.98,42,201,7017,5,519
"BDCV02",2.98,43,201,7129,5,515
"BDCV02",2.98,44,201,7236,5,515
"BDCV02",2.98,45,201,7340,5,519
"BDCV02",2.98,46,201,7440,5,515
"BDCV02",2.98,47,201,7538,5,515
"BDCV02",2.98,48,201,7634,4,512
"BDCV02",2.98,49,201,7727,4,509
"BDCV02",2.98,50,201,7818,4,509
"BDCV02",2.98,51,201,7907,5,506
"BDCV02",2.98,52,201,7994,5,503
"BDCV02",2.98,53,201,8079,5,503
"BDCV02",2.98,54,201,8162,5,500
"BDCV02",2.98,55,201,8242,5,494
"BDCV02",2.98,56,201,8320,5,491
"BDCV02",2.98,57,201,8395,5,487
"BDCV02",2.98,58,201,8467,5,487
"BDCV02",2.98,59,201,8537,4,484
"BDCV02",2.98,60,201,8604,4,478
"BDCV02",2.98,61,201,8668,4,475
"BDCV02",2.98,62,201,8730,4,472
"BDCV02",2.98,63,201,8788,4,466
"BDCV02",2.98,64,201,8843,5,460
"BDCV02",2.98,65,201,8895,5,456
"BDCV02",2.98,66,201,8944,5,453
"BDCV02",2.98,67,201,8990,7,447
"BDCV02",2.98,68,201,9033,5,441
"BDCV02",2.98,69,201,9073,5,438
"BDCV02",2.98,70,201,9111,2,432
"BDCV02",2.98,71,201,9146,2,432
"BDCV02",2.98,72,201,9179,4,425
"BDCV02",2.98,73,201,9210,5,422
"BDCV02",2.98,74,201,9237,5,413
"BDCV02",2.98,75,201,9261,4,407
"BDCV02",2.98,76,201,9283,4,404
"BDCV02",2.98,77,201,9304,4,401
"BDCV02",2.98,78,201,9323,5,397
"BDCV02",2.98,79,201,9340,5,391
"BDCV02",2.98,80,201,9355,5,388
"BDCV02",2.98,81,201,9369,2,382
"BDCV02",2.98,82,201,9380,2,379
"BDCV02",2.98,83,201,9390,2,369
"BDCV02",2.98,84,201,9398,4,369
"BDCV02",2.98,85,201,9405,4,366
"BDCV02",2.98,86,201,9410,4,360
"BDCV02",2.98,87,201,9414,4,357
"BDCV02",2.98,88,201,9416,5,348
"BDCV02",2.98,89,201,9418,4,345
"BDCV02",2.98,90,201,9418,4,342
"BDCV02",2.98,91,201,9417,4,338
"BDCV02",2.98,92,201,9415,4,335
"BDCV02",2.98,93,201,9412,4,332
